Sta_node# distance timerx notassociated timeidle notassociated timetx notassociated timesleep notassociated timecollision notassociated interval
0,105.535,2.92572 0.56436 2.43192 1.51911 0.001 0.0032 1.48365 0 0.0358002 0.00310742 0
1,46.1913,0.81676 0.16952 2.14835 0.531029 0.00524 0.0064 5.26033 0 0.000324121 0.00240998 0
2,192.716,1.0512 0.08428 2.54373 0.506651 0.00948 0.0032 4.7646 0 0.003918 0.000807183 0
3,131.885,2.08532 0.46468 1.72761 1.26226 0.01572 0.008 3.35231 0 0.0237991 0.00258695 0
4,190.354,0.95516 0.17464 2.55193 0.532294 0.00948 0.0064 4.73571 0 0.000488548 0.00177027 0
5,120.741,0.83096 0.4132 1.80283 1.24458 0.001 0.0032 4.64393 0 0.000164082 0.00242544 0
6,53.1278,2.55456 0.14452 2.61863 0.521398 0.04516 0.0032 3.05046 0 0.0288162 0.00112924 0
7,158.747,2.36912 0.67504 1.33152 1.92789 0.0484 0.0064 2.54501 0 0.0357996 0.00311167 0
8,147.467,0.8456 0.66696 1.77773 1.9253 0.001 0.0048 3.743 0 3.17e-06 0.00347218 0
9,139.792,0.83804 0.15636 2.15586 0.526339 0.00524 0.0048 5.25419 0 0.000324417 0.00112897 0
10,40.0737,2.80244 0.42316 2.30531 1.24858 0.00624 0.0048 2.13896 0 0.035961 0.00242613 0
11,55.2497,0.83248 0.08652 2.18058 0.507179 0.00948 0.0032 5.32171 0 0.000325997 0.000807516 0
12,150.974,1.00284 0.29056 2.18122 1.21672 0.00624 0.0016 4.26674 0 0.000654155 0.00129264 0
13,139.484,0.84824 0.14676 2.15918 0.522134 0.001 0.0032 5.26033 0 0.000323702 0.00112959 0
14,51.5209,1.72568 0.65736 1.84 1.92178 0.00624 0.0032 2.79466 0 0.0158382 0.00311192 0
15,181.997,0.8322 0.27116 2.03843 0.830167 0.001 0.0048 4.96275 0 0.000488664 0.00129198 0
16,66.9548,2.92496 0.55952 2.43371 1.51732 0.00624 0.0032 1.48365 0 0.0358006 0.00346901 0
17,149.572,2.37752 0.50592 1.59076 1.50428 0.17016 0.0032 2.73172 0 0.0363243 0.0025883 0
18,135.827,2.92124 0.56884 2.4304 1.52063 0.001 0.0032 1.48365 0 0.0358011 0.00311046 0
19,176.362,2.55872 0.66508 1.44839 1.92452 0.01996 0.0048 2.28192 0 0.0357989 0.00311115 0
20,32.059,2.42588 0.05032 2.60602 0.498823 0.00624 0.0032 3.35194 0 0.0252892 0.000164208 0
21,88.9077,0.78264 0.45444 1.78999 1.25759 0.00524 0.0064 4.64277 0 3.226e-06 0.00322685 0
22,189.244,1.02592 0.11584 2.57901 0.513501 0.00524 0.0032 4.72318 0 0.000808669 0.00116796 0
23,132.694,1.1816 0.4624 1.82456 1.26068 0.00624 0.0048 4.19195 0 0.0064803 0.00358407 0
24,146.659,0.87308 0.64608 1.7866 1.9194 0.00948 0.0048 3.72526 0 5.7525e-05 0.00311311 0
25,63.2111,0.80408 0.36516 1.79235 1.23303 0.001 0.0032 4.7412 0 0.00032461 0.00194132 0
26,124.829,0.97056 0.40192 2.16164 1.242 0.001 0.0048 4.18336 0 0.000164662 0.00242581 0
27,175.105,0.91156 0.01612 2.17521 0.492472 0.00524 0.0016 5.33928 0 0.000809308 1.296e-06 0
28,87.1751,0.97224 0.44216 2.15954 1.25337 0.00624 0.0048 4.12274 0 0.00419038 0.00258543 0
29,121.037,1.82196 0.42028 1.63207 1.24805 0.4012 0.0048 3.37814 0 0.0250225 0.00306548 0
30,161.628,2.88276 0.61236 2.13505 1.90937 0.001 0.0032 1.38523 0 0.0357992 0.00310924 0
31,93.1775,1.67192 0.12848 2.15388 0.516708 0.00624 0.0032 4.44457 0 0.0161595 0.00112953 0
32,106.827,2.87532 0.6198 2.13351 1.9109 0.001 0.0032 1.38523 0 0.035798 0.00310968 0
33,73.2514,2.529 0.38908 1.70212 1.23905 0.01996 0.0032 3.02182 0 0.0359573 0.00210423 0
34,83.6882,0.88052 0.52376 1.93867 1.50799 0.00524 0.0032 4.10539 0 0.000521616 0.00258766 0
35,99.011,1.4792 0.21764 2.13279 0.814623 0.02096 0.0032 4.2623 0 0.0102823 0.00129228 0
36,113.18,1.0834 0.13556 2.60074 0.518868 0.00624 0.0032 4.61824 0 0.000488138 0.00112885 0
37,95.3997,2.69056 0.58004 1.74656 1.52568 0.00624 0.0048 2.34886 0 0.0358012 0.00374846 0
38,112.638,0.93284 0.47472 2.09716 1.2653 0.001 0.0064 4.18669 0 0.000526899 0.00322673 0
39,120.81,0.86416 0.08204 2.1741 0.506282 0.01472 0.0032 5.29665 0 0.000488232 0.000646876 0
40,92.2284,1.05084 0.24704 2.46985 0.821229 0.01048 0.0032 4.36183 0 0.00175142 0.00165131 0
41,157.412,0.87136 0.12364 2.16602 0.515291 0.001 0.0032 5.26033 0 0.000484442 0.000968271 0
42,146.481,2.919 0.57108 2.42976 1.52127 0.001 0.0032 1.48365 0 0.0358012 0.00310793 0
43,64.6882,0.85372 0.25224 2.04694 0.822494 0.00524 0.0032 4.95667 0 0.000490236 0.0012914 0
44,135.719,0.89948 0.66284 1.77801 1.92404 0.00948 0.0048 3.6861 0 2.515e-06 0.00311145 0
45,170.998,0.82548 0.16792 2.15201 0.529295 0.001 0.0048 5.26033 0 0.000324345 0.00112965 0
46,172.745,0.91428 0.67988 1.79634 1.92988 0.01896 0.0064 3.61477 0 0.00424641 0.00311232 0
47,175.199,0.83768 0.26828 2.04074 0.828485 0.00524 0.0032 4.95688 0 0.000491481 0.00129113 0
48,167.826,2.32912 0.26604 2.45754 0.827435 0.04316 0.0032 3.01564 0 0.0244464 0.00129184 0
49,112.817,0.82088 0.47248 1.79774 1.26483 0.00624 0.0064 4.56997 0 0.000526372 0.00322689 0
50,170.302,0.94412 0.50108 1.98318 1.50333 0.01048 0.0032 4.01936 0 0.000523743 0.00258568 0
51,145.441,0.73408 0.6718 1.47698 1.92683 0.00624 0.0048 4.11844 0 1.154e-06 0.00311124 0
52,187.346,0.97284 0.43732 2.14401 1.2519 0.01472 0.0048 4.13596 0 0.00373638 0.00258553 0
53,54.3252,0.84704 0.16308 2.15971 0.528185 0.01048 0.0048 5.22754 0 0.000324406 0.00112979 0
54,145.988,1.04684 0.24516 2.46755 0.820596 0.00624 0.0032 4.37215 0 0.00484191 0.00129174 0
55,120.982,0.82388 0.42028 1.80047 1.24695 0.001 0.0032 4.64393 0 0.000163391 0.00242402 0
56,134.08,0.85492 0.658 1.78031 1.92272 0.001 0.0048 3.743 0 3.368e-06 0.0031116 0
57,160.531,0.80548 0.37 1.79261 1.23425 0.00524 0.0032 4.72925 0 0.000325267 0.00194144 0
58,195.753,2.92348 0.56624 2.43124 1.51979 0.001 0.0032 1.48365 0 0.0357984 0.00346619 0
59,90.7875,0.74812 0.65512 1.48266 1.92125 0.001 0.0032 4.12782 0 2.11e-06 0.00311164 0
60,148.353,1.00632 0.1378 2.57212 0.520393 0.001 0.0048 4.72318 0 0.00048854 0.00176864 0
61,178.952,1.37732 0.44664 1.86453 1.25511 0.01048 0.0048 3.97103 0 0.00979914 0.00258667 0
62,162.86,2.82296 0.5762 2.3877 1.52394 0.07036 0.0048 1.52334 0 0.0358041 0.00311072 0
63,144.725,2.30032 0.26316 1.9603 0.826386 0.01048 0.0032 3.55117 0 0.0253453 0.00193183 0
64,180.337,0.84336 0.66956 1.7771 1.92594 0.001 0.0048 3.743 0 1.807e-06 0.00311196 0
65,171.984,1.10936 0.46852 1.80021 1.26346 0.00524 0.0064 4.28403 0 0.00248142 0.00258545 0
66,60.7391,2.85884 0.63628 2.12882 1.91559 0.001 0.0032 1.38523 0 0.0357987 0.00311422 0
67,182.179,0.79172 0.48656 1.78867 1.26873 0.001 0.0064 4.5961 0 0.000526994 0.00258735 0
68,119.641,0.91132 0.46016 2.14417 1.25948 0.001 0.0048 4.18336 0 3.137e-06 0.00358498 0
69,176.094,0.846 0.149 2.15823 0.523079 0.001 0.0032 5.26033 0 0.000323501 0.00112931 0
70,106.078,1.03668 0.2154 2.44579 0.814254 0.00524 0.0032 4.44537 0 0.000812007 0.00113223 0
71,181.26,0.82512 0.33988 1.79768 1.2277 0.00524 0.0032 4.7412 0 0.000486413 0.00177871 0
72,170.887,0.97012 0.1724 2.56106 0.531454 0.001 0.0064 4.72318 0 0.000486426 0.00176978 0
73,188.592,0.85712 0.16084 2.15864 0.527606 0.00624 0.0048 5.22495 0 0.000964226 0.00112843 0
74,94.5138,2.54796 0.1786 2.57982 0.533723 0.09756 0.0064 2.99187 0 0.0295345 0.00240895 0
75,147.628,0.83444 0.26892 2.03927 0.829326 0.001 0.0048 4.96275 0 0.000488104 0.00129181 0
76,123.418,1.0358 0.15124 2.52648 0.524024 0.00948 0.0032 4.71603 0 0.000486365 0.00112952 0
77,99.9662,0.81376 0.37644 1.79496 1.2362 0.00624 0.0032 4.70923 0 0.000164435 0.00210343 0
78,114.814,1.02348 0.0626 2.55023 0.500886 0.001 0.0032 4.82518 0 0.00081021 0.000485246 0
79,79.8948,0.88464 0.11136 2.16965 0.512444 0.00524 0.0032 5.2543 0 0.000646433 0.000807067 0
